iter	Passed	Remaining
0	2	571
1	4	554
2	6	546
3	8	534
4	11	541
5	13	537
6	15	536
7	17	537
8	20	539
9	22	536
10	24	537
11	26	535
12	29	539
13	32	540
14	34	538
15	36	537
16	39	535
17	41	534
18	43	530
19	46	529
20	48	527
21	50	523
22	52	522
23	55	519
24	57	519
25	59	515
26	62	512
27	64	509
28	66	507
29	69	506
30	71	503
31	73	500
32	75	498
33	78	496
34	80	492
35	82	490
36	84	488
37	87	488
38	90	486
39	92	485
40	94	482
41	96	479
42	99	477
43	102	477
44	104	475
45	106	472
46	108	470
47	111	467
48	113	465
49	115	462
50	117	460
51	120	457
52	122	455
53	124	453
54	127	450
55	129	447
56	132	447
57	134	445
58	136	442
59	138	439
60	141	436
61	143	434
62	145	432
63	147	429
64	150	427
65	152	424
66	154	422
67	157	420
68	159	417
69	161	415
70	163	412
71	165	409
72	168	407
73	170	405
74	172	402
75	175	400
76	177	398
77	179	396
78	181	393
79	184	391
80	186	388
81	188	386
82	190	384
83	193	381
84	195	379
85	197	377
86	199	374
87	202	372
88	204	370
89	206	367
90	209	365
91	211	362
92	213	360
93	216	358
94	218	356
95	220	353
96	222	351
97	225	349
98	227	347
99	230	345
100	232	342
101	234	340
102	236	337
103	238	335
104	241	332
105	243	330
106	245	328
107	248	326
108	250	324
109	252	321
110	255	319
111	257	317
112	259	314
113	262	312
114	264	310
115	266	308
116	269	305
117	271	303
118	273	301
119	275	298
120	277	296
121	280	293
122	282	291
123	284	289
124	287	287
125	289	284
126	291	282
127	294	280
128	296	278
129	298	275
130	301	273
131	303	271
132	305	268
133	307	266
134	309	264
135	312	261
136	314	259
137	316	257
138	319	254
139	321	252
140	323	250
141	326	248
142	328	246
143	331	243
144	333	241
145	335	239
146	338	236
147	340	234
148	342	232
149	346	231
150	349	229
151	351	226
152	355	225
153	358	223
154	361	221
155	364	219
156	366	217
157	369	215
158	371	212
159	374	210
160	377	208
161	380	206
162	382	204
163	384	201
164	387	199
165	389	196
166	391	194
167	394	192
168	397	190
169	399	188
170	402	186
171	405	183
172	407	181
173	409	178
174	411	176
175	414	174
176	416	171
177	418	169
178	420	166
179	423	164
180	426	162
181	428	160
182	431	157
183	433	155
184	435	153
185	437	150
186	439	148
187	442	145
188	444	143
189	446	141
190	449	138
191	451	136
192	453	134
193	456	131
194	458	129
195	460	126
196	463	124
197	465	122
198	467	119
199	470	117
200	472	115
201	474	112
202	477	110
203	479	108
204	481	105
205	483	103
206	486	101
207	488	98
208	490	96
209	492	93
210	494	91
211	496	88
212	498	86
213	500	84
214	502	81
215	504	79
216	506	76
217	508	74
218	510	72
219	511	69
220	513	67
221	515	65
222	517	62
223	519	60
224	521	57
225	523	55
226	525	53
227	527	50
228	529	48
229	531	46
230	533	43
231	535	41
232	536	39
233	538	36
234	540	34
235	542	32
236	544	29
237	547	27
238	549	25
239	551	22
240	553	20
241	555	18
242	557	16
243	559	13
244	561	11
245	563	9
246	565	6
247	567	4
248	569	2
249	571	0
